REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
20929,13.305.585/0001-08,DE VILLE PRODUÇÕES AUDIOVISUAIS LTDA - EPP,FOCO PRODUÇÕES LTDA,02.803.873/0001-68
18055,07.938.916/0001-36,CINEMA VILLAGGIO LTDA,CINEARTE MORUMBI LTDA,05.774.116/0001-00
3758,06.953.374/0001-08,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA,CINEARTE MORUMBI LTDA,05.774.116/0001-00
28671,08.057.858/0001-02,CINTIA E TIAGO ABRAVANEL PRODUÇÕES ARTISTICAS LTDA - ME,TELEVISAO SOROCABA LTDA,53.653.945/0001-79
34069,24.863.454/0001-54,LA 9 PRODUTORA DE VÍDEO LTDA,OILHA AUDIOVISUAL STUDIO EIRELI - ME,95.134.573/0001-14
21730,03.846.120/0001-00,R5 PRODUTORA DE VÍDEO LTDA EPP,STUDIO PRODUTORA DE VIDEO LTDA,17.716.634/0001-48
27055,02.222.687/0001-35,JOSE LUIZ F. LAU - ME,ACENA AUDIOVISUAIS LTDA - ME,12.094.302/0001-55
4341,07.430.780/0001-59,ZAP RIO PRETO COMERCIO E VIDEO PRODUÇÕES LTDA - EPP,APZ COMERCIO DE VIDEO LTDA - EPP,12.799.310/0001-05
152,20.462.917/0001-15,EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.,EMVIDEO EVENTOS AUDIOVISUAIS LTDA,07.071.805/0001-75
23915,07.229.734/0001-96,TECHNO IMAGE COMUNICAÇÕES LTDA ME,RAFAEL GHENCEV ME,08.752.357/0001-38
47904,40.473.692/0001-00,SEIVA PRODUCAO DE FILMES LTDA,LADYBIRD PRODUCAO DE FILMES LTDA.,40.001.435/0001-75
50331,43.827.536/0001-98,CONCEITOS PRODUÇÕES LTDA,KATAGIRI PRODUÇÕES ARTÍSTICAS LTDA,28.858.626/0001-52
39447,14.711.039/0001-21,P7 FILMES LTDA,CHASING ELLIOTT FILMS LTDA.-ME,19.037.683/0001-80
2836,52.067.071/0001-05,EMPRESA SAO LUIZ DE CINEMAS LTDA,EMELI PARTICIPAÇÕES EIRELI,19.409.378/0001-71
22682,15.683.184/0001-09,ICE FILMES LTDA - ME,CÁPSULA CINEMATOGRÁFICA LTDA,04.705.264/0001-00
18207,13.039.876/0001-93,LOTUS PRODUTORA CINEMATOGRAFICA LTDA,BARTHMANN & BARTHMANN S/C LTDA,54.142.278/0001-22
292,16.487.027/0001-90,TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA,CASA DO RIO VERMELHO FINALIZADORA LTDA.,03.353.962/0001-12
46248,33.484.689/0001-26,NETOLAB ENTRETENIMENTO EIRELI,"PLAY 9 SERVICOS DE MIDIA, COMUNICACAO E PRODUCOES LTDA",34.502.145/0001-02
4267,04.995.093/0001-92,CBSP - CASABLANCA SERVICE PROVIDER LTDA,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,05.097.785/0001-86
184,04.731.133/0001-99,CASABLANCA EFFECTS LTDA.,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,05.097.785/0001-86
2266,04.890.196/0001-98,GRID DIGITAL PRODUÇÕES LTDA,W DIGITAL PRODUÇÕES LTDA,09.547.879/0001-60
25339,10.347.818/0001-39,MARCELO AUGUSTO NEGRI DE CARVALHO - EPP,MN AUDIOVISUAL EIRELI - ME,29.309.930/0001-03
50272,25.194.509/0001-43,GOLD MUSIC LTDA,GOLD 120 PRODUÇÕES E EVENTOS LTDA,07.025.989/0001-37
12148,01.649.307/0001-80,BOX COMPANHIA DE ARTE,FOCALIZE SERVIÇOS DE COMUNICAÇÃO VISUAL EIRELI - ME,21.672.740/0001-44
52234,15.573.844/0001-07,A CASA DA COMUNICAÇÃO LTDA,FOCALIZE SERVIÇOS DE COMUNICAÇÃO VISUAL EIRELI - ME,21.672.740/0001-44
23491,09.195.840/0001-21,INPUTSOM ARTE SONORA LTDA. - ME,MAFIA FILMES LTDA,17.753.196/0001-98
16897,11.571.077/0001-38,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,JOSUÉ´S CINE SAMONTE LTDA.,13.067.326/0001-88
27156,10.499.608/0001-66,JL PRODUÇÕES DE VÍDEOS E FILMAGENS LTDA ME,GO PRODUÇÕES LTDA,37.040.638/0001-66
